Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
1259611595677863936,"RT @CarLuuTe: Mientras muchos pidieron #Rappi, otr@s le preparamos el almuerzo a mami. https://t.co/q4qpe5yxJ4",<[2020-05-10T22:29:47.086Z]>,Tweet,,,,,,,Sun May 10 17:29:41 COT 2020,es,FALSE,,,,,,,,,,,
1259611602002874368,@EstebanH_ Por lo q leo Rappi ea una mierda en bogota aca en cali casi no pasa eso.,<[2020-05-10T22:29:48.208Z]>,Tweet,,,,,,,Sun May 10 17:29:43 COT 2020,es,FALSE,,,,,,,,,,,
@1963h,@1963h,<[2020-05-10T22:29:48.208Z]>,User,,,,,,,Sun Oct 17 08:59:29 COT 2010,,,,,,http://pbs.twimg.com/profile_images/1135340935137648641/GJ2dUqUn_bigger.jpg,352,56,hector f buitrago,COLOMBIA,,,
1259611606549442561,Hoy tenía todos mis pedidos perfectamente cronometrados hasta que un rappi decidió robarse dos de mis tortas 🙄,<[2020-05-10T22:29:50.357Z]>,Tweet,,,,,,,Sun May 10 17:29:44 COT 2020,es,FALSE,,,,,,,,,,,
@marialeguzmang,@marialeguzmang,"<[2020-05-10T22:29:50.357Z, 2020-05-10T22:40:59.245Z]>",User,,,,,,,Mon Jul 03 23:31:30 COT 2017,,,,,,http://pbs.twimg.com/profile_images/883654421774774273/1eOEEN0B_bigger.jpg,165,48,Mariale Guzmán,"Cartagena, Colombia",,,
1259611647817154560,@SandraL_QG Además usted también pide por rappi Sandra ush,<[2020-05-10T22:29:59.059Z]>,Tweet,,,,,,,Sun May 10 17:29:53 COT 2020,es,FALSE,,,,,,,,,,,
1259611659901026310,Lo mejor que he aprendido de ellos es… no volverlos a utilizar!,<[2020-05-10T22:30:02.647Z]>,Tweet,,,,,,,Sun May 10 17:29:56 COT 2020,es,FALSE,https://twitter.com/merachimbita/status/1259605482064547846,,,,,,,,,,
1259605482064547846,Si algo he aprendido de rappi es que es mejor pagar en efectivo cuando llegue el domicilio.,"<[2020-05-10T22:30:02.647Z, 2020-05-10T22:41:20.128Z]>",Tweet,,,,,,,Sun May 10 17:05:23 COT 2020,es,FALSE,,,,,,,,,,,
@merachimbita,@merachimbita,"<[2020-05-10T22:30:02.647Z, 2020-05-10T22:41:20.128Z]>",User,,,,,,,Sat Dec 27 23:12:56 COT 2008,,,,Opiniones completamente subjetivas y sin fundamento. (Los tuits de esta cuenta no representan la posición real de su autor).,,http://pbs.twimg.com/profile_images/1254111694537842688/qX2ZIssq_bigger.jpg,3687,4601,No Franz.,Bogotá,,,
1259611680759328768,"RT @JennAndreaVB: Ustedes parecen maricas haciendo tantos pedidos por #Rappi sabiendo lo mal que son, conociendo todas las quejas que a dia…",<[2020-05-10T22:30:06.951Z]>,Tweet,,,,,,,Sun May 10 17:30:01 COT 2020,es,FALSE,,,,,,,,,,,
